"","from","to","weight"
"399","BiggsDarklight6","Nigel_Farage",1
"400","BillBolloten","Nigel_Farage",1
"401","blepharon","Nigel_Farage",1
"402","carolgarvie","Nigel_Farage",1
"403","CBenians","Nigel_Farage",1
"404","cjmUK70","Nigel_Farage",1
"405","cpburrell","Nigel_Farage",1
"406","david_colquhoun","Nigel_Farage",1
"407","Downtwisted","Nigel_Farage",1
"408","dr_rf","Nigel_Farage",1
"409","fail_shit","Nigel_Farage",1
"410","FE_business","Nigel_Farage",1
"411","flumps263","Nigel_Farage",1
"412","GringoPeruano","Nigel_Farage",1
"413","gstoneski","Nigel_Farage",1
"414","JamesBrown95","Nigel_Farage",1
"415","kateallender29","Nigel_Farage",1
"416","Kizzia30","Nigel_Farage",1
"417","lanct22","Nigel_Farage",1
"418","Leticia17922167","Nigel_Farage",1
"419","lizmurison","Nigel_Farage",1
"420","lizzba","Nigel_Farage",1
"421","marthareckons","Nigel_Farage",1
"422","nananeya","Nigel_Farage",1
"423","nanapatdavies","Nigel_Farage",1
"424","nn_isnt","Nigel_Farage",1
"425","PummelerA","Nigel_Farage",1
"426","righttoleech","Nigel_Farage",1
"427","rmwire","Nigel_Farage",1
"428","RogueOneIsh","Nigel_Farage",1
"429","rokin5911","Nigel_Farage",1
"430","roy_ocarroll","Nigel_Farage",1
"431","ruthywb","Nigel_Farage",1
"432","s9tmt","Nigel_Farage",1
"433","SandraDunn1955","Nigel_Farage",1
"434","ShanBee9","Nigel_Farage",1
"435","shelaffs","Nigel_Farage",1
"436","StarterPat","Nigel_Farage",1
"437","T0wan","Nigel_Farage",1
"438","tartancobweb","Nigel_Farage",1
"439","tenchiokhi","Nigel_Farage",1
"440","traceymhodgson","Nigel_Farage",1
"441","velo_citybobbin","Nigel_Farage",1
"442","velvetsilk","Nigel_Farage",1
"443","whtemale","Nigel_Farage",1
"444","jlagrue","nigelgbrook",1
"445","ReJoinTheEU2","Nolandale",1
"446","oldmanbigkid","oflynnsocial",1
"447","courageousgirl2","onthewingit",1
"448","lines_panny","OrkenspalterTV",1
"449","AcademyOfRock","Otto_English",1
"450","al_hereford","paddydocherty",1
"451","AlisonYoga1","paddydocherty",1
"452","Andrew00344210","paddydocherty",1
"453","badgerlyminge","paddydocherty",1
"454","BiggsDarklight6","paddydocherty",1
"455","BillBolloten","paddydocherty",1
"456","blepharon","paddydocherty",1
"457","carolgarvie","paddydocherty",1
"458","CBenians","paddydocherty",1
"459","cjmUK70","paddydocherty",1
"460","cpburrell","paddydocherty",1
"461","david_colquhoun","paddydocherty",1
"462","Downtwisted","paddydocherty",1
"463","dr_rf","paddydocherty",1
"464","fail_shit","paddydocherty",1
"465","FE_business","paddydocherty",1
"466","flumps263","paddydocherty",1
"467","FrannyHP","paddydocherty",1
"468","gstoneski","paddydocherty",1
"469","JamesBrown95","paddydocherty",1
"470","kateallender29","paddydocherty",1
"471","Kizzia30","paddydocherty",1
"472","lanct22","paddydocherty",1
"473","lasombra_br","paddydocherty",1
"474","Leticia17922167","paddydocherty",1
"475","lizmurison","paddydocherty",1
"476","lizzba","paddydocherty",1
"477","marthareckons","paddydocherty",1
"478","nananeya","paddydocherty",1
"479","nanapatdavies","paddydocherty",1
"480","nn_isnt","paddydocherty",1
"481","PhilMorandi","paddydocherty",1
"482","PictorMary","paddydocherty",1
"483","PummelerA","paddydocherty",1
"484","righttoleech","paddydocherty",1
"485","rokin5911","paddydocherty",1
"486","roy_ocarroll","paddydocherty",1
"487","ruthywb","paddydocherty",1
"488","s9tmt","paddydocherty",1
"489","SandraDunn1955","paddydocherty",1
"490","ShanBee9","paddydocherty",1
"491","shelaffs","paddydocherty",1
"492","StarterPat","paddydocherty",1
"493","T0wan","paddydocherty",1
"494","tartancobweb","paddydocherty",1
"495","tenchiokhi","paddydocherty",1
"496","traceymhodgson","paddydocherty",1
"497","velo_citybobbin","paddydocherty",1
"498","velvetsilk","paddydocherty",1
"499","JU4PM2024","patel4witham",1
"500","MRMarriagePride","patel4witham",1
"501","arobertsonphoto","PauleverittADS",1
"502","chrisgreybrexit","PauleverittADS",1
"503","DCHutchings","PauleverittADS",1
"504","DreamSailor2","PauleverittADS",1
"505","eaglu","PauleverittADS",1
"506","EvsSimon","PauleverittADS",1
"507","glynwintle","PauleverittADS",1
"508","Hubertelski","PauleverittADS",1
"509","JeromeDavies1","PauleverittADS",1
"510","Jim_Cornelius","PauleverittADS",1
"511","jimboy__","PauleverittADS",1
"512","johndoran1","PauleverittADS",1
"513","JohnGPeet","PauleverittADS",1
"514","JohnKLDN","PauleverittADS",1
"515","JoRichardsKent","PauleverittADS",1
"516","JozefR8","PauleverittADS",1
"517","luisamfferreir1","PauleverittADS",1
"518","michaeltinmouth","PauleverittADS",1
"519","Peradventur3","PauleverittADS",1
"520","peter_l_white","PauleverittADS",1
"521","pieandmushypeas","PauleverittADS",1
"522","richardjbellamy","PauleverittADS",1
"523","rupaharia","PauleverittADS",1
"524","seusssl","PauleverittADS",1
"525","stevegreen39","PauleverittADS",1
"526","tjpfletch","PauleverittADS",1
"527","WaldoWhereToday","PauleverittADS",1
"528","maggierobs581","people_paul",1
"529","WSL1w1","petemorristwit",1
"530","BrexitLalaland","petertimmins3",1
"531","catherinemginn","petertimmins3",1
